"","Lat","Lon","Time Range","Vessel IDs","Apparent Fishing Hours"
"209",68.9,16.7,"2021-04",4,28.51
"210",68.9,17.5,"2021-10",2,17.5
"211",69.1,17.3,"2021-04",3,1.84
"212",68.7,17.1,"2021-04",1,1
"213",68.8,17.4,"2021-01",1,3.4
"214",69,16.8,"2021-10",3,3.29
"215",68.9,16.9,"2021-03",1,1.01
"216",68.8,17,"2021-02",1,11.98
"217",69,16.9,"2021-11",5,25.7
"218",68.9,16.8,"2021-02",2,1.56
"219",69,17.4,"2021-04",1,20.37
"220",68.7,17.2,"2021-02",3,30.13
"221",69,17.5,"2021-02",2,11.42
"222",68.8,16.7,"2021-08",3,2.54
"223",69.1,16.9,"2021-10",1,3.38
"224",68.9,16.6,"2021-02",6,61.75
"225",68.7,16.9,"2021-10",1,15.57
"226",68.9,16.5,"2021-07",1,1.55
"227",68.8,16.9,"2021-08",1,3.39
"228",69.1,17.5,"2021-04",1,1.92
"229",68.8,16.8,"2021-12",2,5.86
"230",68.9,17,"2021-12",1,1.52
"231",68.9,16.8,"2021-05",1,14.13
"232",69,17.6,"2021-07",2,1.52
"233",69,16.7,"2021-11",1,168.09
"234",68.8,16.6,"2021-12",1,1.27
"235",69.1,17.6,"2021-06",1,0.25
"236",68.9,16.6,"2021-05",2,6.52
"237",69.1,17.4,"2021-02",3,7.29
"238",69.1,17.3,"2021-03",1,4.44
"239",68.9,16.7,"2021-03",5,42.77
"240",68.7,17,"2021-01",3,36.28
"241",68.9,16.9,"2021-04",1,0.07
"242",68.9,17.4,"2021-11",2,3.75
"243",68.8,16.8,"2021-09",2,21.57
"244",69,17.3,"2021-02",3,40.65
"245",68.9,17,"2021-09",3,7.29
"246",68.7,17.2,"2021-04",1,2.29
"247",68.8,16.9,"2021-09",2,5.5
"248",69,17.4,"2021-02",2,50.23
"249",69.1,17.4,"2021-03",1,2.84
"250",68.9,17.1,"2021-11",1,0.24
"251",69,17.5,"2021-04",1,1.43
"252",68.9,16.6,"2021-04",2,56.34
"253",69.1,17.6,"2021-07",2,49.12
"254",68.9,16.7,"2021-02",9,142.69
"255",69.1,17.3,"2021-02",1,14.66
"256",68.8,17.5,"2021-01",1,2.94
"257",68.9,17,"2021-08",3,4.89
"258",68.7,17.1,"2021-02",3,51.53
"259",69,17.3,"2021-03",2,9.57
"260",68.8,16.8,"2021-08",2,0.99
"261",68.9,16.9,"2021-05",1,0.92
"262",69,17.5,"2021-07",2,5.17
"263",68.9,17.1,"2021-12",2,2.79
"264",69.1,17.6,"2021-04",2,1.46
"265",68.9,16.8,"2021-07",1,3.19
"266",68.9,17,"2021-10",1,0.44
"267",69.1,16.7,"2021-12",2,0.98
"268",68.8,16.8,"2021-10",4,11.63
"269",68.9,17.7,"2021-11",4,25.4
"270",69.1,17.5,"2021-06",1,0.86
"271",69,17.4,"2021-01",2,4.49
"272",68.9,17.3,"2021-12",1,0.89
"273",69.1,16.7,"2021-09",2,2.12
"274",69.1,17.1,"2021-01",1,0.27
"275",68.7,17.1,"2021-01",3,11.03
"276",69,17,"2021-02",1,0.8
"277",68.8,16.9,"2021-11",3,8.9
"278",68.9,16.7,"2021-01",7,123.68
"279",68.9,17.1,"2021-09",2,3.58
"280",69.1,17.3,"2021-01",2,3.2
"281",68.8,17.5,"2021-02",2,5.77
"282",68.8,17.2,"2021-03",1,0.23
"283",69,16.7,"2021-08",1,1.04
"284",69,16.7,"2021-12",2,37.63
"285",69.1,17.6,"2021-05",1,0.55
"286",68.9,16.6,"2021-06",1,0.43
"287",68.8,17.1,"2021-04",1,3.98
"288",69.1,17.5,"2021-07",2,15.64
"289",68.8,16.8,"2021-11",3,22.73
"290",69,17.6,"2021-04",2,0.95
"291",68.9,16.8,"2021-06",1,2.24
"292",68.9,17,"2021-11",1,0.07
"293",68.9,17.3,"2021-08",1,3.15
"294",68.8,16.9,"2021-10",1,3.06
"295",68.9,16.9,"2021-07",1,2.37
"296",69,17.3,"2021-01",5,33.24
"297",69,16.7,"2021-09",1,75.23
"298",68.8,17.2,"2021-02",3,14.3
"299",68.9,17.1,"2021-08",3,60.67
"300",68.7,17,"2021-02",5,32.88
