"","Lat","Lon","Time Range","Vessel IDs","Apparent Fishing Hours"
"235",50.3,-4,"2022-09",4,35
"236",50.4,-4.1,"2022-06",1,3.01
"237",50.1,-4,"2022-08",18,186.44
"238",50.1,-3.9,"2022-01",11,49.6
"239",50.1,-4.1,"2022-10",20,224.69
"240",50.4,-4.5,"2022-01",1,20.54
"241",50,-4.2,"2022-07",15,92.3
"242",50.2,-4.2,"2022-06",12,58.89
"243",50.1,-4,"2022-12",10,70.44
"244",50.3,-4.4,"2022-04",7,106
"245",50.1,-4.3,"2022-06",11,180.35
"246",50.2,-4.1,"2022-02",13,55.59
"247",50,-4.1,"2022-03",12,24.82
"248",50.3,-4.3,"2022-07",7,101.32
"249",50.2,-4.6,"2022-07",1,2.1
"250",50.1,-4.4,"2022-05",16,179.89
"251",50.3,-4,"2022-08",5,24.97
"252",50.3,-3.9,"2022-01",3,12.09
"253",50.2,-3.9,"2022-08",5,157.58
"254",50.2,-4,"2022-01",18,112.43
"255",50.4,-4.4,"2022-08",2,59.93
"256",50.3,-4.1,"2022-10",5,13.99
"257",50.2,-4.5,"2022-04",7,49.96
"258",50.4,-4.2,"2022-03",1,0.1
"259",50.1,-4.1,"2022-11",20,151.39
"260",50.1,-4,"2022-09",15,92.6
"261",50.4,-4.1,"2022-07",2,0.75
"262",50.3,-4.6,"2022-12",4,4.17
"263",50.2,-4.5,"2022-03",6,50.64
"264",50.2,-4.3,"2022-12",16,75.12
"265",50.4,-4.2,"2022-04",1,0.96
"266",50.3,-3.9,"2022-06",6,37.15
"267",50.2,-4,"2022-06",15,123.69
"268",50.1,-4.2,"2022-12",19,73.49
"269",50.2,-4.4,"2022-11",13,89.65
"270",50.1,-3.9,"2022-07",10,35.23
"271",50.3,-4.4,"2022-03",6,38.82
"272",50.1,-4.5,"2022-10",7,32.07
"273",50.1,-4.3,"2022-01",22,183.24
"274",50.4,-4.5,"2022-06",3,151.91
"275",50.3,-4.2,"2022-08",9,48.3
"276",50.2,-4.2,"2022-01",21,145.19
"277",50.3,-4.6,"2022-09",8,24.14
"278",50,-4.3,"2022-08",10,52.11
"279",50.2,-4.3,"2022-09",15,176.79
"280",50.1,-4.4,"2022-02",12,82.53
"281",50.3,-4.5,"2022-11",6,97.99
"282",50.2,-4.1,"2022-05",14,87.96
"283",50,-4.1,"2022-04",10,27.49
"284",50.1,-4.2,"2022-09",18,326.4
"285",50.2,-4,"2022-07",20,144.54
"286",50.3,-3.9,"2022-07",3,4.93
"287",50,-4.3,"2022-12",9,40.13
"288",50.2,-4.5,"2022-02",14,37.25
