"","Lat","Lon","Time Range","Vessel IDs","Apparent Fishing Hours"
"178",50.1,-4,"2023-12",9,91.52
"179",50.2,-4.2,"2023-06",11,73.44
"180",50.3,-4.4,"2023-04",8,29.57
"181",50.1,-4.3,"2023-06",13,169.17
"182",50.3,-4,"2023-06",2,40.01
"183",50.2,-3.9,"2023-06",6,179.69
"184",50.4,-4.4,"2023-06",2,0.82
"185",50.3,-4.3,"2023-12",7,33
"186",50.2,-4.6,"2023-12",6,6.88
"187",50.3,-4.5,"2023-03",3,19.23
"188",50.1,-4.4,"2023-10",16,151.87
"189",50,-4.2,"2023-12",10,56.81
"190",50.1,-4,"2023-07",18,228.17
"191",50.4,-4.1,"2023-09",2,2.8
"192",50.1,-4.5,"2023-02",13,52.77
"193",50.3,-4.4,"2023-11",11,74.37
"194",50.1,-4.1,"2023-04",16,192.74
"195",50.3,-4.2,"2023-01",9,18.72
"196",50,-4.2,"2023-09",8,32.59
"197",50.2,-4.2,"2023-08",19,159.04
"198",50.4,-4.1,"2023-12",2,17.59
"199",50,-4.4,"2023-02",1,1.99
"200",50.2,-4.4,"2023-03",9,92.45
"201",50.1,-4.3,"2023-08",17,263.74
"202",50.3,-4.1,"2023-05",9,26.28
"203",50.3,-4.3,"2023-09",15,163.61
"204",50,-4.3,"2023-01",10,23.44
"205",50.2,-4.5,"2023-11",11,73.39
"206",50.2,-4.6,"2023-09",2,3.66
"207",50.1,-4.4,"2023-11",17,244.03
"208",50.3,-4.5,"2023-02",5,13.16
"209",50.2,-3.9,"2023-07",5,145.18
"210",50.4,-4.4,"2023-07",1,0.59
"211",50.3,-4,"2023-07",1,18.37
"212",50.1,-4.3,"2023-12",11,91.2
"213",50.3,-4.4,"2023-10",15,273.39
"214",50.1,-4.5,"2023-03",7,29.72
"215",50.2,-4.2,"2023-12",9,117.81
"216",50.1,-4,"2023-06",11,84.13
"217",50.2,-4.4,"2023-02",12,139.76
"218",50.1,-4.3,"2023-09",14,183.56
"219",50.2,-4.2,"2023-09",16,168.5
"220",50.1,-4.1,"2023-05",12,99.47
"221",50,-4.2,"2023-08",12,68.29
"222",50.2,-4.3,"2023-01",15,112
"223",50.2,-4.6,"2023-08",5,14.09
"224",50.3,-4.3,"2023-08",14,191.29
"225",50.3,-4.6,"2023-01",5,8.93
"226",50.2,-4.5,"2023-10",12,138.86
"227",50.3,-4.1,"2023-04",11,30.37
"228",50.1,-4.2,"2023-01",17,121.3
"229",50.1,-4.3,"2023-11",20,156.16
"230",50.1,-4,"2023-05",14,112.72
"231",50.2,-4.2,"2023-11",14,75.04
"232",50,-4.2,"2023-10",10,72.08
"233",50.1,-4.4,"2023-12",14,91
"234",50.3,-4.5,"2023-01",8,65.88
