"","Lat","Lon","Time Range","Vessel IDs","Apparent Fishing Hours"
"217",68.9,16.9,"2023-09",2,3.69
"218",68.8,17.3,"2023-11",4,11.97
"219",68.9,16.5,"2023-11",1,0.38
"220",68.9,17,"2023-04",1,1
"221",68.7,16.9,"2023-01",5,85.91
"222",69.1,16.9,"2023-01",2,2.26
"223",69.1,17.6,"2023-10",1,0.79
"224",69,16.7,"2023-07",2,1.99
"225",69,17.2,"2023-12",2,1.98
"226",68.8,17.1,"2023-11",3,33.31
"227",68.9,17.5,"2023-01",3,14.92
"228",68.8,16.7,"2023-02",4,24.07
"229",69,17.2,"2023-09",3,2.68
"230",69,17.5,"2023-08",4,24.96
"231",68.9,16.9,"2023-12",2,2.2
"232",69,16.8,"2023-01",1,6.68
"233",69.1,17.5,"2023-09",2,10.02
"234",69,16.5,"2023-03",1,0.17
"235",68.9,17.4,"2023-07",2,5.94
"236",68.7,16.9,"2023-02",1,9.16
"237",68.9,16.6,"2023-10",2,0.99
"238",68.8,16.6,"2023-07",2,3.13
"239",69,16.7,"2023-04",1,1.01
"240",69,17.2,"2023-11",4,3.5
"241",68.8,17.1,"2023-12",2,1.98
"242",69,17.5,"2023-10",1,3.28
"243",68.9,17.1,"2023-05",1,0.82
"244",68.7,17.2,"2023-10",2,6.93
"245",69.1,17.5,"2023-11",3,3.8
"246",68.8,17.3,"2023-12",1,0.76
"247",68.9,16.5,"2023-12",1,0.78
"248",68.9,16.8,"2023-10",2,8.63
"249",68.8,16.8,"2023-07",3,8.88
"250",68.9,16.9,"2023-11",1,0.95
"251",69,16.8,"2023-02",2,0.97
"252",68.8,17.3,"2023-09",3,19.57
"253",69.1,16.6,"2023-03",1,1.02
"254",68.8,16.9,"2023-06",1,7.32
"255",68.9,16.5,"2023-09",1,0.17
"256",69,17.6,"2023-09",1,0.38
"257",69.1,17.6,"2023-08",2,4.03
"258",68.8,16.7,"2023-01",23,188.85
"259",68.8,17.1,"2023-09",1,29.87
"260",69.1,16.8,"2023-03",1,0.09
"261",68.9,17.1,"2023-04",1,0.39
"262",69,17.5,"2023-11",4,47.01
"263",69,17.2,"2023-10",3,6.43
"264",68.8,16.6,"2023-06",2,7.58
"265",69.1,16.9,"2023-03",1,1.15
"266",68.9,16.6,"2023-11",2,26.27
"267",68.9,17.7,"2023-07",1,2.7
"268",68.8,16.8,"2023-06",2,4.05
"269",69.1,16.7,"2023-04",1,0.28
"270",69,16.9,"2023-02",1,0.05
"271",68.8,17.4,"2023-09",3,3.27
"272",68.9,16.8,"2023-11",5,8.31
"273",68.9,17,"2023-06",3,28.85
